,HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6
0,,,,QUANTITY,VALUE,QUANTITY,VALUE
1,1019000.0,OTHER LIVE ANIMALS,NO,,,,
2,,Germany,,,,,
3,1051100.0,FOWLS (CHICKEN) WT UPTO 185G,NO,1800,188,22940,2454
4,,Afghanistan,,1800,188,22900,2422
5,,Oman,,,,40,32
6,,Tajikistan,,,,,
7,1059400.0,OTH FOWLS OF THE SPE (CHICKEN),NO,,,,
8,,Oman,,,,,
9,1059900.0,OTH LIVE POULTRY,NO,361891,37424,2649338,278395
10,,Afghanistan,,361891,37424,2609171,266999
11,,Australia,,,,800,83
12,,Bahrain,,,,1202,444
13,,Indonesia,,,,1818,1091
14,,Malaysia,,,,979,302
15,,Oman,,,,34768,9371
16,,Tajikistan,,,,,
17,,United Arab Emirates,,,,600,104
18,1061400.0,RABBITS AND HARES,NO,,,200,73
19,,Oman,,,,200,73
20,1063200.0,PSITTACIFORMES(INCL.PARROTS),NO,4450,1017,117588,25790
21,,Bahrain,,,,10990,2068
22,,Egypt(U.A.R.),,,,900,179
23,,Indonesia,,1200,459,1850,854
24,,Kuwait,,,,27080,7649
25,,Oman,,3250,558,75968,14739
26,,Russian Federation,,,,,
27,,Turkey,,,,800,300
28,,Uzbekistan,,,,,
29,1063900.0,OTHER BIRDS,NO,9631,2788,350568,82941
30,,Afghanistan,,,,400,42
31,,Bahrain,,,,108771,18858
32,,Egypt(U.A.R.),,,,300,32
33,,Ghana,,,,,
34,,Indonesia,,305,271,13257,8322
35,,Jordan,,550,167,3910,649
36,,Kuwait,,2300,513,30637,6039
37,,Malaysia,,,,1604,551
38,,Oman,,5476,1721,114737,33207
39,,Qatar,,,,,
40,,Russian Federation,,,,,
41,,Turkey,,,,74650,14792
42,,U.S.America,,1000,115,1302,241
43,,United Arab Emirates,,,,1000,209
44,1064100.0,BEES,NO,506200,1233,973768,36523
45,,China,,,,2811,280
46,1064900.0,OTHER INSECTS,NO,,,23671,237
47,,Afghanistan,,,,23671,237
