HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6,JUNE.1,Unnamed: 8,CUMULATIVE FROM JULY.1,Unnamed: 10
,,,QUANTITY,VALUE,QUANTITY,VALUE,QUANTITY,VALUE,QUANTIT,VALUE
1019000,OTHER LIVE ANIMALS,NO,,,1932,400,,,,
,Qatar,,,,1932,400,,,,
1051100,FOWLS (CHICKEN) WT UPTO 185G,NO,,,17000,1772,1800,188,22940,2454
,Afghanistan,,,,17000,1772,1800,188,22900,2422
,Oman,,,,,,,,40,32
1051500,GUINEA FOWLS WT UPTO 185 GRAMS,NO,,,11000,1224,,,,
,Oman,,,,11000,1224,,,,
1059900,OTH LIVE POULTRY,NO,304386,35240,4621848,474582,361891,37424,2649338,278395
,Afghanistan,,304386,35240,4592835,471942,361891,37424,2609171,266999
,Australia,,,,,,,,800,83
,Bahrain,,,,,,,,1202,444
,Indonesia,,,,,,,,1818,1091
,Malaysia,,,,,,,,979,302
,Oman,,,,9013,947,,,34768,9371
,United Arab Emirates,,,,,,,,600,104
,Viet Nam,,,,20000,1694,,,,
1061400,RABBITS AND HARES,NO,,,,,,,200,73
,Oman,,,,,,,,200,73
1062000,RAPTILES (INCL.SNAKES&TURTLES),NO,5,585,5,585,,,,
,South Africa,,5,585,5,585,,,,
1063200,PSITTACIFORMES(INCL.PARROTS),NO,3005,627,157130,35961,4450,1017,117588,25790
,Bahrain,,,,13922,4386,,,10990,2068
,Egypt(U.A.R.),,,,400,84,,,900,179
,Indonesia,,,,7192,2015,1200,459,1850,854
,Kuwait,,,,21799,6097,,,27080,7649
,Oman,,,,55983,10689,3250,558,75968,14739
,Saudi Arabia,,3005,627,56990,12269,,,,
,Turkey,,,,844,422,,,800,300
1063900,OTHER BIRDS,NO,50712,11027,572699,126127,9631,2788,350568,82941
,Afghanistan,,,,380,94,,,400,42
,Bahrain,,,,71354,12132,,,108771,18858
,Bangladesh,,,,1000,271,,,,
,Egypt(U.A.R.),,,,,,,,300,32
,Indonesia,,,,8355,3928,305,271,13257,8322
,Jordan,,,,,,550,167,3910,649
,Kuwait,,7350,1513,53149,11443,2300,513,30637,6039
,Malaysia,,,,725,147,,,1604,551
,Oman,,10181,2015,162162,39291,5476,1721,114737,33207
,Saudi Arabia,,33181,7500,179207,38676,,,,
,Turkey,,,,95364,19729,,,74650,14792
,U.S.America,,,,,,1000,115,1302,241
,United Arab Emirates,,,,415,104,,,1000,209
,United Kingdom,,,,588,311,,,,
1064100,BEES,NO,5636,186,519866,11727,506200,1233,973768,36523
,Afghanistan,,5636,186,519866,11727,506200,1233,970957,36242
,China,,,,,,,,2811,280
1064900,OTHER INSECTS,NO,,,,,,,23671,237
,Afghanistan,,,,,,,,23671,237
1069000,OTHER LIVES ANIMALS,NO,,,,,,,3261,866
,Afghanistan,,,,,,,,3000,323
,Indonesia,,,,,,,,141,292
,Oman,,,,,,,,120,250
2011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,2860385,1238635,30220453,11666029,1772878,592466,38989098,13974560
,Afghanistan,,,,1000,357,,,,
,Bahrain,,122731,53295,1582782,632473,18470,6018,2911146,1094721
,Kenya,,,,,,1590,584,1590,584
,Kuwait,,771262,336802,6524753,2539787,358915,122832,6928852,2477811
,Oman,,182231,75728,1663558,660847,79065,28224,1658008,611666
,Qatar,,62147,27131,789299,301418,46534,16864,759727,266515
,Saudi Arabia,,537111,226784,7472048,2814092,636743,209728,8982131,3087626
,Thailand,,,,,,,,29000,16800
,United Arab Emirates,,1184903,518895,12187013,4717057,631561,208216,17693028,6408227
,Viet Nam,,,,,,,,25616,10612
2012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,2369,879,640989,235399,337155,145385,3795609,1561681
,Afghanistan,,,,606000,222441,,,,
,Bahrain,,,,,,41106,17547,306359,126869
,Kuwait,,244,102,6024,2349,31127,13706,290518,117820
,Oman,,2125,777,4015,1475,26937,11327,123551,47927
,Qatar,,,,,,17278,7517,68240,27009
,Saudi Arabia,,,,4330,1506,103186,45445,458747,196761
,United Arab Emirates,,,,1510,652,117521,49842,2548194,1045296
,Viet Nam,,,,19110,6976,,,,
2013000,MEAT OF BOV ANIM F/CH BON LESS,KG,8898,4495,306027,154821,64708,32858,591877,280340
,Bahrain,,,,35,20,,,,
,Kuwait,,,,,,9842,5165,9842,5165
,Oman,,,,,,19368,10130,20908,10934
,Qatar,,2280,1096,9144,4229,11090,5223,98042,45822
,Saudi Arabia,,4973,2462,176252,87217,13960,6442,223290,101409
,Thailand,,,,,,,,29000,15613
,United Arab Emirates,,1645,937,120596,63355,10448,5898,210795,101399
2021000,CARCASSES OF BOVIN ANIMAL FROZ,KG,820169,341909,7986609,3309345,572947,235925,3984589,1608694
,Bahrain,,2820,1181,44238,19921,10330,5024,178495,73665
,Kuwait,,34900,14586,564593,220491,76055,27768,713448,291025
,Oman,,19551,8307,254330,107251,23203,10122,137208,58432
,Qatar,,,,3780,1588,,,3618,982
,Saudi Arabia,,159548,67183,1922739,803991,216285,89988,915347,391198
,United Arab Emirates,,603350,250651,5088754,2122234,247074,103023,1866603,759439
,Viet Nam,,,,108175,33869,,,169870,33952
2022000,"OTH CUTS WITH BONE IN,BOV FROZ",KG,84534,35520,870890,294180,62353,18161,1153398,320191
,Afghanistan,,,,,,,,26000,5403
,Bahrain,,1500,564,6591,2663,,,,
,Iraq,,,,,,,,26140,10843
,Kuwait,,,,3740,1463,,,4766,1839
,Oman,,,,195694,60233,36193,9039,602072,171286
,Qatar,,,,,,2969,1001,9949,3674
,Saudi Arabia,,22110,9256,40057,16679,4000,1553,13880,4424
,United Arab Emirates,,60924,25699,352846,142518,16355,5400,29576,10167
,Viet Nam,,,,271962,70625,2836,1167,441015,112554
2023000,MEAT BOV ANIMAL FROZE BONELESS,KG,203807,79197,2978968,1324361,117180,67659,5380121,1874726
,Bahrain,,,,,,,,28014,9578
,Germany,,,,,,,,40000,17804
,Hong Kong S.A.Re.Chi,,,,28500,10147,,,,
,Malaysia,,,,105526,58143,,,102,50
,Oman,,,,32520,14182,,,18,8
,Qatar,,,,22220,9000,,,27690,8631
,Saudi Arabia,,,,5730,2991,,,186302,80505
,Thailand,,,,12000,7146,24000,14328,295110,94516
,United Arab Emirates,,3132,1535,438135,170094,180,104,15065,7310
,Viet Nam,,200675,77662,2334337,1052658,93000,53226,4787820,1656323
2041000,CARCASSES OF LAMB FRESH/CHILL,KG,37134,21386,948050,533396,104306,54793,1455238,823642
,Bahrain,,2430,1778,40388,23542,2625,1413,10755,4844
,Kuwait,,23100,11211,131570,76102,17052,9919,113495,65205
,Oman,,490,293,82641,37703,11477,4887,237273,110323
,Qatar,,335,212,4945,3719,8900,3186,70175,38966
,Saudi Arabia,,,,39711,23607,49949,27077,702864,440205
,United Arab Emirates,,10779,7893,648795,368723,14303,8310,320676,164098
2042100,"CARCASSES OF SHEEP,FR/CHILLED",KG,90985,64004,1902986,1175548,360494,209317,4703876,2828205
,Bahrain,,200,146,19808,12892,5780,3091,167880,109257
,Kuwait,,6725,4930,44629,26454,13120,6846,102572,61772
,Oman,,1960,1437,19839,12121,3950,2623,75568,47987
,Qatar,,1719,1238,73767,48803,12753,8887,153485,97353
,Saudi Arabia,,69917,48554,1536024,944728,287461,168728,3553248,2091833
,United Arab Emirates,,10464,7697,208919,130549,37430,19141,651123,420004
2042200,"O,CUTS OF SHEEP,FR/CHI BONE IN",KG,,,18320,8195,,,122148,88683
,Bahrain,,,,,,,,6830,4698
,Kuwait,,,,,,,,7005,4607
,Oman,,,,17850,7984,,,24164,16379
,Qatar,,,,,,,,7300,4951
,Saudi Arabia,,,,,,,,20620,15322
,U.S.America,,,,470,211,,,,
,United Arab Emirates,,,,,,,,56229,42726
2042300,OTH BONELESS MEAT OF SHEEP F/C,KG,,,81710,38701,,,4660,3412
,Malaysia,,,,21065,9795,,,,
,Saudi Arabia,,,,1000,575,,,4660,3412
,Viet Nam,,,,59645,28331,,,,
2043000,"CARCASSES OF LAMB,FROZEN",KG,,,81220,56351,,,870,366
,Germany,,,,81220,56351,,,,
,Oman,,,,,,,,870,366
2045000,MEAT OF GOATS FRESH/CHILL/FROZ,KG,87636,66656,1940205,1357395,132393,94982,2661071,1853355
,Afghanistan,,,,2200,1309,,,,
,Bahrain,,1100,806,48923,32966,5970,4051,725886,477462
,China,,,,1420,667,,,,
,Kuwait,,,,26085,17896,3899,2642,87114,55641
,Oman,,14243,10423,207473,147161,33395,22618,241403,163212
,Qatar,,3870,2882,69200,48586,12310,8345,25692,17687
,Saudi Arabia,,21286,16300,876529,595741,35606,26207,776373,555678
,United Arab Emirates,,47137,36244,708375,513070,41213,31117,804603,583675
2061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,49520,12057,2033094,444553,93094,27439,1663097,332257
,Afghanistan,,360,88,695050,132038,,,1086980,190253
,Bahrain,,,,810,161,17765,5463,24850,7642
,Kuwait,,,,,,14330,4198,24591,7256
,Malaysia,,,,119975,29994,,,,
,Oman,,9330,4008,10050,4156,9680,3018,20148,5887
,Qatar,,,,225,75,,,14824,4484
,Saudi Arabia,,7020,1930,7020,1930,32330,9285,166730,44234
,Thailand,,,,,,,,11800,3282
,United Arab Emirates,,60,19,6484,3528,10989,3282,189884,44464
,Viet Nam,,32750,6013,1193480,272671,8000,2193,123290,24755
2062100,"TONGUES OF BOV ANIMALS,FROZEN",KG,,,,,,,3122,774
,Viet Nam,,,,,,,,3122,774
2062200,LIVERS OF BOV ANIMALS FROZEN,KG,275,69,7411,2196,877,201,56454,14238
,Bahrain,,,,1723,478,,,8645,2400
,Kuwait,,,,1498,547,,,4100,977
,Oman,,200,52,1114,310,510,106,9459,2173
,Qatar,,,,1550,458,247,69,23019,6342
,United Arab Emirates,,75,17,1526,403,120,25,11231,2346
2062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,434147,98138,5306129,1074503,230557,60765,6689655,1410197
,Afghanistan,,,,,,,,512300,89653
,Bahrain,,,,8129,2916,,,80,25
,Bangladesh,,,,,,12000,3525,12000,3525
,China,,,,,,,,28681,7372
,Hong Kong S.A.Re.Chi,,55600,14532,96450,25866,,,16280,3773
,Malaysia,,,,132629,41471,,,27998,9573
,Oman,,506,120,17251,4600,1026,287,18340,6747
,Qatar,,,,35229,7510,,,8181,2269
,Saudi Arabia,,,,,,,,12515,3185
,South Africa,,,,,,,,2000,125
,Thailand,,,,28000,2916,,,92980,18907
,Turkey,,,,12300,950,,,13500,1491
,United Arab Emirates,,2326,828,109963,33011,,,110030,24746
,Viet Nam,,375715,82657,4866178,955262,217531,56952,5834770,1238806
2068000,OTH EDIBLE OFFAL OF ANIM FR/CH,KG,373080,136930,2813435,795604,74045,38195,2991946,612328
,Afghanistan,,372900,136854,2725535,771999,64066,33635,2947353,595925
,Bahrain,,,,,,,,150,47
,Oman,,,,40,15,1379,654,6115,2344
,Portugal,,,,79300,20356,,,,
,Qatar,,,,,,,,573,232
,Saudi Arabia,,,,410,167,2500,1125,3700,1814
,United Arab Emirates,,180,75,8150,3067,6100,2781,34055,11966
2069000,OTH EDIBLE OFFAL OF ANIM FROZN,KG,,,,,,,165202,44082
,Kuwait,,,,,,,,40,16
,Oman,,,,,,,,16997,4158
,United Arab Emirates,,,,,,,,1490,461
,Viet Nam,,,,,,,,146675,39447
2071100,MEAT OF FOWLS OF SPE GOLL F/CH,KG,10640,1944,10640,1944,,,,
,Qatar,,10640,1944,10640,1944,,,,
2071200,MEAT OF FOWL OF SPE GALLU FROZ,KG,470,94,5550,929,,,5632,1438
,Afghanistan,,470,94,470,94,,,,
,Oman,,,,,,,,5632,1438
,Viet Nam,,,,5080,835,,,,
2071300,CUTS&OFFAL OF FOWL FR/CHILL,KG,,,18000,2384,1200,323,93320,11383
,Afghanistan,,,,,,1200,323,1200,323
,Viet Nam,,,,18000,2384,,,92120,11060
2071400,CUTS & OFFAL OF FOWLS FROZEN,KG,282530,24992,2436010,278887,54400,14852,1374613,107043
,Afghanistan,,,,122710,15393,,,,
,Hong Kong S.A.Re.Chi,,,,157973,19036,,,,
,Oman,,,,,,,,5000,410
,Qatar,,,,,,,,14000,696
,Thailand,,112000,7939,112000,7939,,,,
,Viet Nam,,170530,17053,2043327,236518,54400,14852,1355613,105937
2072600,CUT & OFFAL OF TURKEY FR/CHILL,KG,,,479766,65273,110000,16452,377182,48805
,Viet Nam,,,,479766,65273,110000,16452,377182,48805
2072700,"CUT & OFFAL OF TURKEY,FROZEN",KG,28000,1306,318804,41035,,,,
,Viet Nam,,28000,1306,318804,41035,,,,
2074500,OTH DUCK MEAT FROZEN,KG,,,8860,1734,,,,
,Afghanistan,,,,500,52,,,,
,Australia,,,,5130,777,,,,
,Hong Kong S.A.Re.Chi,,,,3230,906,,,,
2075500,OTH GEESE MEAT FROZEN,KG,,,159672,43612,,,25120,5625
,Australia,,,,180,112,,,,
