,HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,ULATIVE FROM JULY,Unnamed: 6
0,,,,QUANTITY,VALUE,QUANTITY,VALUE
1,1022110.0,PURE BRED BREEDING BULLS,NO,,,271,17133
2,,Afghanistan,,,,271,17133
3,1022120.0,PURE BRED BREEDING COWS,NO,,,130,8220
4,,Afghanistan,,,,130,8220
5,1023900.0,OTHER BUFFALOES,NO,,,717,44545
6,,Afghanistan,,,,717,44545
7,1041000.0,SHEEP LIVE,NO,,,325,3585
8,,United Arab Emirates,,,,325,3585
9,1042000.0,"GOATS, LIVE",NO,,,100,1085
10,,Afghanistan,,,,100,1085
11,1051100.0,FOWLS (CHICKEN) WT UPTO 185G,NO,,,1566379,129287
12,,Afghanistan,,,,1565391,129203
13,,Oman,,,,988,84
14,1051500.0,GUINEA FOWLS WT UPTO 185 GRAMS,NO,,,,
15,,Oman,,,,,
16,1059400.0,OTH FOWLS OF THE SPE (CHICKEN),NO,,,800,98
17,,Oman,,,,800,98
18,1059900.0,OTH LIVE POULTRY,NO,685300,77083,6655771,622000
19,,Afghanistan,,685300,77083,6648814,621250
20,,Oman,,,,6957,750
21,,Viet Nam,,,,,
22,1061400.0,RABBITS AND HARES,NO,,,192,41
23,,Oman,,,,192,41
24,1062000.0,RAPTILES (INCL.SNAKES&TURTLES),NO,,,,
25,,South Africa,,,,,
26,1063190.0,OTHER BIRDS OF PREY,NO,,,796,338
27,,Oman,,,,796,338
28,1063200.0,PSITTACIFORMES(INCL.PARROTS),NO,,,1512,672
29,,Bahrain,,,,750,342
30,,Egypt(U.A.R.),,,,,
31,,Indonesia,,,,,
32,,Kuwait,,,,,
33,,Oman,,,,392,206
34,,Saudi Arabia,,,,200,105
35,,Turkey,,,,170,17
36,1063900.0,OTHER BIRDS,NO,21765,3512,438068,86216
37,,Afghanistan,,,,450,88
38,,Bahrain,,,,8190,1309
39,,Bangladesh,,,,,
40,,Indonesia,,,,9850,4427
41,,Kuwait,,,,28365,5457
42,,Malaysia,,,,,
